Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,CQI,LTERSSI,ARFCN,DL+AF8-bitrate,UL+AF8-bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test+AF8-Status,DataConnection+AF8-Type,DataConnection+AF8-Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION+AF8-NAME,VERSION+AF8-CODE,DEVICE,BAND,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,geometry
2019+AC0-12+AC0-05 09:02:32,+AC0-76.49137,44.232094000000004,37,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-94,+AC0-11,14.4,+AC0-,+AC0-70,3348,325,8437,9,71,71,5,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,3.0,LOG START,,,,2,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49136999999999 44.232094)
2019+AC0-12+AC0-05 09:02:33,+AC0-76.4915,44.232102000000005,37,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-94,+AC0-17,14.2,+AC0-,+AC0-67,3348,59973,143,9,71,71,4,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,,,,,3,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-97,+AC0-17,,,4G,,,,66.0,3348.0,+AC0-101,+AC0-20,,,4G,,,,54.0,3348.0,+AC0-104,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.4915 44.232102)
2019+AC0-12+AC0-05 09:02:34,+AC0-76.49163,44.232109,38,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-94,+AC0-17,14.2,+AC0-,+AC0-67,3348,29076,8530,9,71,71,4,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,,,,,4,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-97,+AC0-17,,,4G,,,,66.0,3348.0,+AC0-101,+AC0-20,,,4G,,,,54.0,3348.0,+AC0-104,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49163 44.232109)
2019+AC0-12+AC0-05 09:02:35,+AC0-76.49177,44.232116,39,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-93,+AC0-16,14.2,+AC0-,+AC0-67,3348,74483,179,9,70,70,4,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,5,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-99,+AC0-18,,,4G,,,,54.0,3348.0,+AC0-100,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49176999999999 44.232116)
2019+AC0-12+AC0-05 09:02:36,+AC0-76.4919,44.232122,40,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-93,+AC0-16,12.2,+AC0-,+AC0-70,3348,32540,8452,9,71,71,4,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,6,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-99,+AC0-18,,,4G,,,,54.0,3348.0,+AC0-100,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.4919 44.232122)
2019+AC0-12+AC0-05 09:02:36,+AC0-76.4919,44.232122,40,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-93,+AC0-16,12.2,+AC0-,+AC0-70,3348,32540,8452,9,71,71,4,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,DOWNLOAD ERROR,,,,6,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-99,+AC0-18,,,4G,,,,54.0,3348.0,+AC0-100,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.4919 44.232122)
2019+AC0-12+AC0-05 09:02:37,+AC0-76.49204,44.232132,39,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,11,+AC0-,+AC0-67,3348,54892,117,9,71,71,5,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,7,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49204 44.232132)
2019+AC0-12+AC0-05 09:02:37,+AC0-76.49204,44.232132,39,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,11,+AC0-,+AC0-67,3348,54892,117,9,71,71,5,G,D,,,,,,52038.0,4356.0,53160.0,4358.0,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,UL/DL TEST,,,,7,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49204 44.232132)
2019+AC0-12+AC0-05 09:02:37,+AC0-76.49204,44.232132,39,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,11,+AC0-,+AC0-67,3348,54892,117,9,71,71,5,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,DATA TEST SEQUENCE,,,,7,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49204 44.232132)
2019+AC0-12+AC0-05 09:02:38,+AC0-76.49217,44.232139000000004,39,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,11,+AC0-,+AC0-67,3348,0,0,9,71,71,4,G,D,,,,,,,,,,PING,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,8,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49217 44.232139)
2019+AC0-12+AC0-05 09:02:38,+AC0-76.49217,44.232139000000004,39,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,11,+AC0-,+AC0-67,3348,0,0,9,71,71,4,G,D,163.0,163.0,163.0,0.0,0.0,,,,,PING,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,PING TEST,,,,8,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49217 44.232139)
2019+AC0-12+AC0-05 09:02:39,+AC0-76.49231,44.232146,38,TELUS,302220,3022205600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,6.8,+AC0-,+AC0-68,3348,7371,8475,9,71,71,4,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,8,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49231 44.232146)
2019+AC0-12+AC0-05 09:02:40,+AC0-76.49244,44.232157,37,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-101,+AC0-17,6.8,+AC0-,+AC0-68,3348,7371,8475,9,72,72,4,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,9,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-100,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-104,+AC0-19,,,4G,,,,66.0,3348.0,+AC0-106,+AC0-18,,,4G,,,,308.0,3348.0,+AC0-110,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49244 44.232157)
